id,value,feed_id,created_at,lat,lon,ele
0G39C5BJ2A3E8C9KWM47RXM75K,-3.48,3217075,2026-02-08 06:55:21 UTC,,,
0G39C5MYKZTP66J3MVJ0C3K4MW,-3.57,3217075,2026-02-08 06:55:51 UTC,,,
0G39C5YB1WNZNE9SYCPQ08A0NB,-3.49,3217075,2026-02-08 06:56:22 UTC,,,
0G39C67QJD36NFMSYE7PAAZ5AK,-3.46,3217075,2026-02-08 06:56:53 UTC,,,
0G39C6H41FNK2A0NSE5WYGDBD6,-3.45,3217075,2026-02-08 06:57:24 UTC,,,
0G39C6TGG3FNWY74SNY5T09GEW,-3.37,3217075,2026-02-08 06:57:54 UTC,,,
0G39C73X0BQQWQJHEEWPXF3DVG,-3.41,3217075,2026-02-08 06:58:25 UTC,,,
0G39C7D9F5NDAK6N07STBK6EZ5,-3.48,3217075,2026-02-08 06:58:56 UTC,,,
0G39C7PNYSBE9F56JRNKY45TQP,-3.61,3217075,2026-02-08 06:59:27 UTC,,,
0G39C802ECHGA77FQXHDNW401M,-3.43,3217075,2026-02-08 06:59:58 UTC,,,
0G39C89EYQ1DZ4392VB883E3F7,-3.54,3217075,2026-02-08 07:00:28 UTC,,,
0G39C8JVDETQWY6CMXHXZQKVAE,-3.40,3217075,2026-02-08 07:00:59 UTC,,,
0G39C8W7X2CB81ST9DZERGGN07,-3.44,3217075,2026-02-08 07:01:30 UTC,,,
0G39C95MHAY1X3NWBK0W3BT9RK,-3.47,3217075,2026-02-08 07:02:01 UTC,,,
0G39C9F0W9DBM09MFQ64QD13WX,-3.41,3217075,2026-02-08 07:02:31 UTC,,,
0G39C9RDDZHWQRVK663GQCMK8H,-3.42,3217075,2026-02-08 07:03:02 UTC,,,
0G39CA1SWDRQ5NR87RTD0PBSFY,-3.42,3217075,2026-02-08 07:03:33 UTC,,,
0G39CAB6CTVN4SJD2H8BCCSGBF,-3.49,3217075,2026-02-08 07:04:04 UTC,,,
0G39CAMK1A4K93NSGVPWF3MH99,-3.46,3217075,2026-02-08 07:04:34 UTC,,,
0G39CAXZCCHV273YY536SA4K44,-3.44,3217075,2026-02-08 07:05:05 UTC,,,
0G39CB7BW99BF219CV51GS5RN7,-3.41,3217075,2026-02-08 07:05:36 UTC,,,
